RADIUS (M), PITCH (DEG), CHORD LENGTH (M), AIRFOIL 
2.8667,      13.308,       3.542,        NACA64_A17
5.6,         13.308,       3.854,        NACA64_A17
8.3333,      13.308,       4.167,        NACA64_A17
11.75,       13.308,       4.557,        NACA64_A17
15.85,       11.48,        4.652,        NACA64_A17
19.95,       10.162,       4.458,        NACA64_A17
24.05,       9.011,        4.249,        NACA64_A17
28.15,       7.795,        4.007,        NACA64_A17
32.25,       6.544,        3.748,        NACA64_A17
36.35,       5.361,        3.502,        NACA64_A17
40.45,       4.188,        3.256,        NACA64_A17
44.55,       3.125,        3.010,        NACA64_A17
48.65,       2.319,        2.764,        NACA64_A17
52.75,       1.526,        2.518,        NACA64_A17
56.1667,     0.863,        2.313,        NACA64_A17
58.9,        0.37,         2.086,        NACA64_A17
63.0         0.106,        1.419,        NACA64_A17
